,0_novo,1_novo,2,3_novo,4_novo,5_novo,0_velho,1_velho,3_velho,4_velho,5_velho
46,40,5,007006-8,Towner SDX / DLX/ STD,,,40.0,5.0,Towner SDX / DLX/ STD,Dezembro/2019,Towner
47,41,5,007013-0,Towner Super Luxo,,,41.0,5.0,Towner Super Luxo,Dezembro/2019,Towner
48,42,5,007007-6,Towner Truck,,,42.0,5.0,Towner Truck,Dezembro/2019,Towner
49,6906,189,085011-0,DB9 Coupe 6.0 V12 510cv,,,6906.0,189.0,DB9 Coupe 6.0 V12 510cv,Dezembro/2019,DB
50,6340,189,085006-3,DB9 Volante 6.0 V12 470cv,,,6340.0,189.0,DB9 Volante 6.0 V12 470cv,Dezembro/2019,DB
51,6341,189,085007-1,Rapide 6.0 V12 477cv,,,6341.0,189.0,Rapide 6.0 V12 477cv,Dezembro/2019,Rapide
52,6907,189,085009-8,Rapide S 6.0 V12 550cv,,,6907.0,189.0,Rapide S 6.0 V12 550cv,Dezembro/2019,Rapide
53,6909,189,085010-1,Vanquish V12 6.0 565cv,,,6909.0,189.0,Vanquish V12 6.0 565cv,Dezembro/2019,Vanquish
54,6342,189,085004-7,Vantage 6.0 V12 510cv,,,6342.0,189.0,Vantage 6.0 V12 510cv,Dezembro/2019,Vantage
55,6343,189,085002-0,Vantage Coupe 4.7 V8 425cv,,,6343.0,189.0,Vantage Coupe 4.7 V8 425cv,Dezembro/2019,Vantage
56,6344,189,085003-9,Vantage Roadster 4.7 V8 420cv,,,6344.0,189.0,Vantage Roadster 4.7 V8 420cv,Dezembro/2019,Vantage
57,6908,189,085008-0,Vantage S 6.0 V12 565cv,,,6908.0,189.0,Vantage S 6.0 V12 565cv,Dezembro/2019,Vantage
58,6345,189,085001-2,Vantage S Coupe 4.7 V8 430cv,,,6345.0,189.0,Vantage S Coupe 4.7 V8 430cv,Dezembro/2019,Vantage
59,6346,189,085005-5,Virage Coupe 6.0 V12 490cv,,,6346.0,189.0,Virage Coupe 6.0 V12 490cv,Dezembro/2019,Virage
60,43,6,008030-6,100 2.8 V6,,,43.0,6.0,100 2.8 V6,Dezembro/2019,100
61,44,6,008076-4,100 2.8 V6 Avant,,,44.0,6.0,100 2.8 V6 Avant,Dezembro/2019,100
62,45,6,008031-4,100 S-4 2.2 Avant Turbo,,,45.0,6.0,100 S-4 2.2 Avant Turbo,Dezembro/2019,100
63,46,6,008001-2,80 2.0,,,46.0,6.0,80 2.0,Dezembro/2019,80
64,47,6,008077-2,80 2.0 Avant,,,47.0,6.0,80 2.0 Avant,Dezembro/2019,80
65,48,6,008080-2,80 2.6/ 2.8,,,48.0,6.0,80 2.6/ 2.8,Dezembro/2019,80
66,49,6,008002-0,80 2.6/2.8 Avant,,,49.0,6.0,80 2.6/2.8 Avant,Dezembro/2019,80
67,50,6,008003-9,80 2.8 Cabriolet,,,50.0,6.0,80 2.8 Cabriolet,Dezembro/2019,80
68,51,6,008004-7,80 S2 Avant,,,51.0,6.0,80 S2 Avant,Dezembro/2019,80
69,5496,6,008153-1,A1 1.4 TFSI 122cv S-tronic 3p,,,5496.0,6.0,A1 1.4 TFSI 122cv S-tronic 3p,Dezembro/2019,A1
70,6293,6,008177-9,A1 2.0 TFSI Quattro 256cv 3p,,,6293.0,6.0,A1 2.0 TFSI Quattro 256cv 3p,Dezembro/2019,A1
